"OD","LOC","SHK","OAL","PowerA NoFlat","PowerA With Flat"
"5/16","1/2","5/16","2","410-212-1","410-212W-1"
"5/16","13/16","5/16","2-1/2","408-208-1","408-208W-1"
"3/8","5/8","3/8","2","410-214-1","410-214W-1"
"3/8","7/8","3/8","2-1/2","408-210-1","408-210W-1"
"3/8","1-1/8","3/8","3","409-204-1","409-204W-1"
"7/16","5/8","7/16","2-1/2","410-216-1","410-216W-1"
"7/16","1","7/16","2-3/4","408-212-1","408-212W-1"
"1/2","5/8","1/2","2-1/2","410-218-1","410-218W-1"
"1/2","1","1/2","3","408-214-1","408-214W-1"
"1/2","1-1/4","1/2","3","408-216-1","408-216W-1"
"1/2","2","1/2","4","409-206-1","409-206W-1"
"9/16","1-1/8","9/16","3-1/2","408-218-1","408-218W-1"
"5/8","3/4","5/8","3","410-220-1","410-220W-1"
"5/8","1-1/4","5/8","3-1/2","408-220-1","408-220W-1"
"5/8","2-1/4","5/8","5","409-208-1","409-208W-1"
"3/4","1","3/4","3","410-222-1","410-222W-1"
"3/4","7/8","3/4","3-1/2","410-224-1","410-224W-1"
"3/4","1-1/2","3/4","4","408-222-1","408-222W-1"
"3/4","1-5/8","3/4","4","408-224-1","408-224W-1"
"3/4","2-1/4","3/4","5","409-210-1","409-210W-1"
"3/4","3","3/4","6","409-212-1","409-212W-1"
"1","1-1/2","1","4","408-226-1","408-226W-1"
"1","2-1/4","1","5","409-214-1","409-214W-1"
"1","3","1","6","409-216-1","409-216W-1"
"1","4","1","7","409-218-1","409-218W-1"
